nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
255000;1000000;10;3484.271000;348.427100;193.227100;154.598000;154.598000;1932.271000;1545.980000;6.020000;5.406540
260000;1000000;10;3342.672000;334.267200;184.392100;149.269700;149.269700;1843.921000;1492.697000;6.054000;5.414973
265000;1000000;10;3320.528000;332.052800;183.031300;148.424100;148.424100;1830.313000;1484.241000;5.974000;5.423246
270000;1000000;10;3485.939000;348.593900;190.521200;157.442000;157.442000;1905.212000;1574.420000;6.307000;5.431364
275000;1000000;10;3607.190000;360.719000;193.500500;166.591000;166.591000;1935.005000;1665.910000;6.275000;5.439332
280000;1000000;10;3655.000000;365.500000;197.906100;166.926400;166.926400;1979.061000;1669.264000;6.675000;5.447158
285000;1000000;10;3824.240000;382.424000;206.233100;175.521600;175.521600;2062.331000;1755.216000;6.693000;5.454845
290000;1000000;10;3963.587000;396.358700;212.606500;183.083300;183.083300;2126.065000;1830.833000;6.689000;5.462398
295000;1000000;10;3850.725000;385.072500;210.198700;174.180100;174.180100;2101.987000;1741.801000;6.937000;5.469822
300000;1000000;10;4040.825000;404.082500;217.574800;185.801300;185.801300;2175.748000;1858.013000;7.064000;5.477121
305000;1000000;10;4061.970000;406.197000;222.415500;183.094900;183.094900;2224.155000;1830.949000;6.866000;5.484300
310000;1000000;10;4136.055000;413.605500;226.335000;186.558400;186.558400;2263.350000;1865.584000;7.121000;5.491362
315000;1000000;10;4119.512000;411.951200;224.161000;187.065000;187.065000;2241.610000;1870.650000;7.252000;5.498311
320000;1000000;10;4378.498000;437.849800;237.423400;199.672600;199.672600;2374.234000;1996.726000;7.538000;5.505150
325000;1000000;10;4416.661000;441.666100;242.000400;198.919600;198.919600;2420.004000;1989.196000;7.461000;5.511883
330000;1000000;10;4454.365000;445.436500;241.358900;203.355000;203.355000;2413.589000;2033.550000;7.226000;5.518514
335000;1000000;10;4523.499000;452.349900;245.904500;205.681600;205.681600;2459.045000;2056.816000;7.638000;5.525045
340000;1000000;10;4902.428000;490.242800;261.447700;228.000400;228.000400;2614.477000;2280.004000;7.947000;5.531479
345000;1000000;10;5021.831000;502.183100;272.393800;229.002100;229.002100;2723.938000;2290.021000;7.872000;5.537819
350000;1000000;10;4846.783000;484.678300;264.243100;219.654400;219.654400;2642.431000;2196.544000;7.808000;5.544068
355000;1000000;10;4938.638000;493.863800;267.550900;225.505600;225.505600;2675.509000;2255.056000;8.073000;5.550228
360000;1000000;10;5037.299000;503.729900;271.718800;231.224500;231.224500;2717.188000;2312.245000;7.866000;5.556303
365000;1000000;10;5102.538000;510.253800;275.572300;233.857100;233.857100;2755.723000;2338.571000;8.244000;5.562293
370000;1000000;10;5154.487000;515.448700;278.843200;235.802400;235.802400;2788.432000;2358.024000;8.031000;5.568202
375000;1000000;10;5372.469000;537.246900;291.633000;244.797600;244.797600;2916.330000;2447.976000;8.163000;5.574031
380000;1000000;10;5471.509000;547.150900;295.320600;250.991300;250.991300;2953.206000;2509.913000;8.390000;5.579783
385000;1000000;10;5593.647000;559.364700;304.615900;253.854900;253.854900;3046.159000;2538.549000;8.939000;5.585461
390000;1000000;10;5610.975000;561.097500;303.719200;256.391200;256.391200;3037.192000;2563.912000;9.871000;5.591064
395000;1000000;10;6218.807000;621.880700;340.410100;280.504700;280.504700;3404.101000;2805.047000;9.659000;5.596597
400000;1000000;10;5749.621000;574.962100;310.442500;263.579000;263.579000;3104.425000;2635.790000;9.406000;5.602060
405000;1000000;10;6135.786000;613.578600;333.298100;279.368200;279.368200;3332.981000;2793.682000;9.123000;5.607455
410000;1000000;10;6366.467000;636.646700;345.117400;290.556400;290.556400;3451.174000;2905.564000;9.729000;5.612784
415000;1000000;10;6260.629000;626.062900;343.670500;281.416000;281.416000;3436.705000;2814.160000;9.764000;5.618048
420000;1000000;10;6092.114000;609.211400;327.422400;280.848500;280.848500;3274.224000;2808.485000;9.405000;5.623250
425000;1000000;10;6636.523000;663.652300;361.039700;301.587200;301.587200;3610.397000;3015.872000;10.254000;5.628389
430000;1000000;10;6391.817000;639.181700;343.860500;294.323600;294.323600;3438.605000;2943.236000;9.976000;5.633469
435000;1000000;10;6573.124000;657.312400;353.608700;302.698200;302.698200;3536.087000;3026.982000;10.055000;5.638489
440000;1000000;10;6453.899000;645.389900;348.542700;295.756300;295.756300;3485.427000;2957.563000;10.909000;5.643453
445000;1000000;10;6559.298000;655.929800;353.168800;301.730400;301.730400;3531.688000;3017.304000;10.306000;5.648360
450000;1000000;10;6717.134000;671.713400;363.053000;307.627600;307.627600;3630.530000;3076.276000;10.328000;5.653213
455000;1000000;10;7050.568000;705.056800;376.329300;327.651500;327.651500;3763.293000;3276.515000;10.760000;5.658011
460000;1000000;10;7425.395000;742.539500;404.241000;337.192800;337.192800;4042.410000;3371.928000;11.057000;5.662758
465000;1000000;10;7816.817000;781.681700;433.109600;347.476800;347.476800;4331.096000;3474.768000;10.953000;5.667453
470000;1000000;10;7261.771000;726.177100;390.837500;334.255100;334.255100;3908.375000;3342.551000;10.845000;5.672098
475000;1000000;10;7151.874000;715.187400;384.028800;330.062000;330.062000;3840.288000;3300.620000;10.966000;5.676693
480000;1000000;10;7284.063000;728.406300;391.270600;336.043800;336.043800;3912.706000;3360.438000;10.919000;5.681241
485000;1000000;10;7816.167000;781.616700;424.568100;355.915000;355.915000;4245.681000;3559.150000;11.336000;5.685742
490000;1000000;10;7521.974000;752.197400;406.517300;344.544500;344.544500;4065.173000;3445.445000;11.356000;5.690196
495000;1000000;10;7649.531000;764.953100;410.069400;353.729300;353.729300;4100.694000;3537.293000;11.544000;5.694605
500000;1000000;10;8089.850000;808.985000;433.970600;373.817100;373.817100;4339.706000;3738.171000;11.973000;5.698970
505000;1000000;10;7706.611000;770.661100;415.289200;354.193500;354.193500;4152.892000;3541.935000;11.784000;5.703291
510000;1000000;10;8059.519000;805.951900;430.802900;373.968600;373.968600;4308.029000;3739.686000;11.804000;5.707570
515000;1000000;10;8009.711000;800.971100;430.305200;369.518200;369.518200;4303.052000;3695.182000;11.477000;5.711807
520000;1000000;10;8147.657000;814.765700;439.474100;374.121000;374.121000;4394.741000;3741.210000;11.706000;5.716003
525000;1000000;10;8222.298000;822.229800;440.085400;380.919000;380.919000;4400.854000;3809.190000;12.254000;5.720160
530000;1000000;10;8541.433000;854.143300;456.130000;396.811900;396.811900;4561.300000;3968.119000;12.014000;5.724276
535000;1000000;10;8551.508000;855.150800;460.375000;393.553600;393.553600;4603.750000;3935.536000;12.222000;5.728354
540000;1000000;10;8485.540000;848.554000;453.043600;394.262300;394.262300;4530.436000;3942.623000;12.481000;5.732394
545000;1000000;10;8516.987000;851.698700;455.111000;395.361800;395.361800;4551.110000;3953.618000;12.259000;5.736396
550000;1000000;10;8741.941000;874.194100;469.643100;403.274100;403.274100;4696.431000;4032.741000;12.769000;5.740363
555000;1000000;10;9247.614000;924.761400;499.920400;423.552700;423.552700;4999.204000;4235.527000;12.883000;5.744293
560000;1000000;10;9365.386000;936.538600;506.579100;428.674700;428.674700;5065.791000;4286.747000;12.848000;5.748188
565000;1000000;10;9361.687000;936.168700;501.949600;432.916100;432.916100;5019.496000;4329.161000;13.030000;5.752048
570000;1000000;10;9236.182000;923.618200;495.790900;426.553600;426.553600;4957.909000;4265.536000;12.737000;5.755875
575000;1000000;10;9208.985000;920.898500;495.897200;423.718000;423.718000;4958.972000;4237.180000;12.833000;5.759668
580000;1000000;10;9442.502000;944.250200;507.042600;435.884900;435.884900;5070.426000;4358.849000;13.227000;5.763428
585000;1000000;10;9338.171000;933.817100;502.583800;429.864400;429.864400;5025.838000;4298.644000;13.689000;5.767156
590000;1000000;10;9580.313000;958.031300;513.786700;442.910900;442.910900;5137.867000;4429.109000;13.337000;5.770852
