nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
295000;1000000;10;1322.893000;132.289300;80.589600;51.041200;51.041200;805.896000;510.412000;6.585000;5.469822
300000;1000000;10;1258.524000;125.852400;77.092400;48.095200;48.095200;770.924000;480.952000;6.648000;5.477121
305000;1000000;10;1356.788000;135.678800;85.484200;49.498800;49.498800;854.842000;494.988000;6.958000;5.484300
310000;1000000;10;1360.301000;136.030100;83.619000;51.699000;51.699000;836.190000;516.990000;7.121000;5.491362
315000;1000000;10;1352.226000;135.222600;82.998300;51.506400;51.506400;829.983000;515.064000;7.179000;5.498311
320000;1000000;10;1414.441000;141.444100;86.592500;54.111900;54.111900;865.925000;541.119000;7.397000;5.505150
325000;1000000;10;1425.857000;142.585700;87.368200;54.487300;54.487300;873.682000;544.873000;7.302000;5.511883
330000;1000000;10;1499.287000;149.928700;93.621800;55.506000;55.506000;936.218000;555.060000;8.009000;5.518514
335000;1000000;10;1474.132000;147.413200;90.656800;55.988600;55.988600;906.568000;559.886000;7.678000;5.525045
340000;1000000;10;1528.497000;152.849700;93.327600;58.711600;58.711600;933.276000;587.116000;8.105000;5.531479
345000;1000000;10;1438.750000;143.875000;88.116400;54.989300;54.989300;881.164000;549.893000;7.693000;5.537819
350000;1000000;10;1508.928000;150.892800;92.328600;57.785700;57.785700;923.286000;577.857000;7.785000;5.544068
355000;1000000;10;1535.700000;153.570000;93.238400;59.511200;59.511200;932.384000;595.112000;8.204000;5.550228
360000;1000000;10;1549.146000;154.914600;94.437800;59.667700;59.667700;944.378000;596.677000;8.091000;5.556303
365000;1000000;10;1576.364000;157.636400;96.891700;59.918600;59.918600;968.917000;599.186000;8.261000;5.562293
370000;1000000;10;1591.141000;159.114100;96.997500;61.254200;61.254200;969.975000;612.542000;8.624000;5.568202
375000;1000000;10;1626.059000;162.605900;99.271500;62.447700;62.447700;992.715000;624.477000;8.867000;5.574031
380000;1000000;10;1619.771000;161.977100;99.163400;61.943800;61.943800;991.634000;619.438000;8.699000;5.579783
385000;1000000;10;1688.476000;168.847600;103.771400;64.201700;64.201700;1037.714000;642.017000;8.745000;5.585461
390000;1000000;10;1709.596000;170.959600;105.392400;64.669000;64.669000;1053.924000;646.690000;8.982000;5.591064
395000;1000000;10;1707.426000;170.742600;103.661100;66.189600;66.189600;1036.611000;661.896000;8.919000;5.596597
400000;1000000;10;1753.743000;175.374300;107.477500;67.008500;67.008500;1074.775000;670.085000;8.883000;5.602060
405000;1000000;10;1824.351000;182.435100;112.491800;68.932400;68.932400;1124.918000;689.324000;10.109000;5.607455
410000;1000000;10;1837.167000;183.716700;112.928200;69.788200;69.788200;1129.282000;697.882000;10.003000;5.612784
415000;1000000;10;2183.729000;218.372900;132.802100;84.472700;84.472700;1328.021000;844.727000;10.981000;5.618048
420000;1000000;10;2233.299000;223.329900;137.722400;84.517700;84.517700;1377.224000;845.177000;10.898000;5.623250
425000;1000000;10;1928.499000;192.849900;118.569400;73.305800;73.305800;1185.694000;733.058000;9.747000;5.628389
430000;1000000;10;1932.773000;193.277300;117.105700;75.175000;75.175000;1171.057000;751.750000;9.966000;5.633469
435000;1000000;10;1928.067000;192.806700;118.649900;73.158000;73.158000;1186.499000;731.580000;9.988000;5.638489
440000;1000000;10;1980.180000;198.018000;119.040800;77.898300;77.898300;1190.408000;778.983000;10.789000;5.643453
445000;1000000;10;1998.120000;199.812000;120.577200;78.183800;78.183800;1205.772000;781.838000;10.510000;5.648360
450000;1000000;10;1992.334000;199.233400;120.780300;77.420000;77.420000;1207.803000;774.200000;10.331000;5.653213
455000;1000000;10;2054.761000;205.476100;124.536400;79.805200;79.805200;1245.364000;798.052000;11.345000;5.658011
460000;1000000;10;2056.630000;205.663000;125.568500;78.974100;78.974100;1255.685000;789.741000;11.204000;5.662758
465000;1000000;10;2083.795000;208.379500;126.568600;80.688300;80.688300;1265.686000;806.883000;11.226000;5.667453
470000;1000000;10;2082.264000;208.226400;125.707500;81.441600;81.441600;1257.075000;814.416000;10.773000;5.672098
475000;1000000;10;2351.308000;235.130800;142.934500;90.996000;90.996000;1429.345000;909.960000;12.003000;5.676693
480000;1000000;10;2174.763000;217.476300;131.108300;85.221600;85.221600;1311.083000;852.216000;11.464000;5.681241
485000;1000000;10;2441.602000;244.160200;150.076700;92.873100;92.873100;1500.767000;928.731000;12.104000;5.685742
490000;1000000;10;2279.447000;227.944700;140.008600;86.717100;86.717100;1400.086000;867.171000;12.190000;5.690196
495000;1000000;10;2349.167000;234.916700;140.522300;93.194100;93.194100;1405.223000;931.941000;12.003000;5.694605
500000;1000000;10;2221.438000;222.143800;135.120900;85.836900;85.836900;1351.209000;858.369000;11.860000;5.698970
505000;1000000;10;2333.173000;233.317300;138.141200;94.003000;94.003000;1381.412000;940.030000;11.731000;5.703291
510000;1000000;10;2265.121000;226.512100;138.104400;87.244600;87.244600;1381.044000;872.446000;11.631000;5.707570
515000;1000000;10;2263.176000;226.317600;137.746900;87.386800;87.386800;1377.469000;873.868000;11.839000;5.711807
520000;1000000;10;2364.552000;236.455200;143.991800;91.235100;91.235100;1439.918000;912.351000;12.283000;5.716003
525000;1000000;10;2289.728000;228.972800;139.154800;88.644800;88.644800;1391.548000;886.448000;11.732000;5.720160
530000;1000000;10;2376.373000;237.637300;144.586200;91.829000;91.829000;1445.862000;918.290000;12.221000;5.724276
535000;1000000;10;2380.985000;238.098500;144.642600;92.251300;92.251300;1446.426000;922.513000;12.046000;5.728354
540000;1000000;10;2416.873000;241.687300;147.393100;93.075100;93.075100;1473.931000;930.751000;12.191000;5.732394
545000;1000000;10;2450.370000;245.037000;145.661800;98.114500;98.114500;1456.618000;981.145000;12.607000;5.736396
550000;1000000;10;2413.319000;241.331900;144.963200;95.159600;95.159600;1449.632000;951.596000;12.091000;5.740363
555000;1000000;10;2368.852000;236.885200;142.188100;93.447900;93.447900;1421.881000;934.479000;12.492000;5.744293
560000;1000000;10;2407.196000;240.719600;144.997100;94.455900;94.455900;1449.971000;944.559000;12.666000;5.748188
565000;1000000;10;2483.157000;248.315700;150.037700;97.059500;97.059500;1500.377000;970.595000;12.185000;5.752048
570000;1000000;10;2531.713000;253.171300;152.980100;98.905600;98.905600;1529.801000;989.056000;12.856000;5.755875
575000;1000000;10;2520.477000;252.047700;152.843000;97.970300;97.970300;1528.430000;979.703000;12.344000;5.759668
580000;1000000;10;2522.339000;252.233900;152.331100;98.640200;98.640200;1523.311000;986.402000;12.626000;5.763428
585000;1000000;10;2591.580000;259.158000;156.432100;101.429400;101.429400;1564.321000;1014.294000;12.965000;5.767156
590000;1000000;10;2600.232000;260.023200;157.422400;101.263300;101.263300;1574.224000;1012.633000;13.375000;5.770852
595000;1000000;10;2579.297000;257.929700;155.380100;101.228500;101.228500;1553.801000;1012.285000;13.211000;5.774517
600000;1000000;10;2652.475000;265.247500;158.865700;104.946400;104.946400;1588.657000;1049.464000;14.354000;5.778151
605000;1000000;10;2663.781000;266.378100;161.030400;103.993800;103.993800;1610.304000;1039.938000;13.539000;5.781755
610000;1000000;10;2781.815000;278.181500;163.930500;112.834700;112.834700;1639.305000;1128.347000;14.163000;5.785330
615000;1000000;10;2697.055000;269.705500;161.839900;106.433500;106.433500;1618.399000;1064.335000;14.321000;5.788875
620000;1000000;10;2798.876000;279.887600;168.342000;110.131500;110.131500;1683.420000;1101.315000;14.141000;5.792392
625000;1000000;10;2861.104000;286.110400;171.337500;113.287300;113.287300;1713.375000;1132.873000;14.856000;5.795880
630000;1000000;10;2821.867000;282.186700;169.661100;111.054100;111.054100;1696.611000;1110.541000;14.715000;5.799341
635000;1000000;10;2885.015000;288.501500;172.871300;114.166500;114.166500;1728.713000;1141.665000;14.637000;5.802774
640000;1000000;10;2962.401000;296.240100;177.843000;116.893300;116.893300;1778.430000;1168.933000;15.038000;5.806180
645000;1000000;10;3051.654000;305.165400;186.310400;117.330600;117.330600;1863.104000;1173.306000;15.244000;5.809560
650000;1000000;10;2918.688000;291.868800;174.379500;116.012100;116.012100;1743.795000;1160.121000;14.772000;5.812913
655000;1000000;10;3004.161000;300.416100;180.477600;118.404200;118.404200;1804.776000;1184.042000;15.343000;5.816241
660000;1000000;10;3024.821000;302.482100;180.345700;120.609500;120.609500;1803.457000;1206.095000;15.269000;5.819544
665000;1000000;10;3061.354000;306.135400;183.263100;121.330600;121.330600;1832.631000;1213.306000;15.417000;5.822822
670000;1000000;10;3131.838000;313.183800;188.917200;122.701200;122.701200;1889.172000;1227.012000;15.654000;5.826075
675000;1000000;10;3101.988000;310.198800;185.597900;122.981500;122.981500;1855.979000;1229.815000;16.194000;5.829304
680000;1000000;10;3118.775000;311.877500;186.125800;124.156900;124.156900;1861.258000;1241.569000;15.948000;5.832509
