n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;logn
490000;1000000;10;7305.088000;730.508800;264.875700;240.094000;225.539100;2648.757000;2400.940000;2255.391000;5.690196
500000;1000000;10;7605.995000;760.599500;273.019200;246.904400;240.675900;2730.192000;2469.044000;2406.759000;5.698970
510000;1000000;10;7906.982000;790.698200;284.965500;260.290900;245.441800;2849.655000;2602.909000;2454.418000;5.707570
520000;1000000;10;8018.184000;801.818400;287.315400;262.547400;251.955600;2873.154000;2625.474000;2519.556000;5.716003
530000;1000000;10;8515.984000;851.598400;306.662800;275.237500;269.698100;3066.628000;2752.375000;2696.981000;5.724276
540000;1000000;10;8480.770000;848.077000;301.929300;275.677500;270.470200;3019.293000;2756.775000;2704.702000;5.732394
550000;1000000;10;8014.264000;801.426400;315.554700;274.556300;211.315400;3155.547000;2745.563000;2113.154000;5.740363
560000;1000000;10;8473.440000;847.344000;316.121600;283.059500;248.162900;3161.216000;2830.595000;2481.629000;5.748188
570000;1000000;10;8951.323000;895.132300;329.111200;294.566900;271.454200;3291.112000;2945.669000;2714.542000;5.755875
580000;1000000;10;8485.869000;848.586900;335.508400;295.473200;217.605300;3355.084000;2954.732000;2176.053000;5.763428
590000;1000000;10;9096.515000;909.651500;342.778500;306.162300;260.710700;3427.785000;3061.623000;2607.107000;5.770852
600000;1000000;10;9332.473000;933.247300;343.853700;310.632900;278.760700;3438.537000;3106.329000;2787.607000;5.778151
610000;1000000;10;8260.538000;826.053800;363.275600;316.142700;146.635500;3632.756000;3161.427000;1466.355000;5.785330
620000;1000000;10;8482.901000;848.290100;379.172800;329.739800;139.377500;3791.728000;3297.398000;1393.775000;5.792392
630000;1000000;10;9839.926000;983.992600;374.466000;334.572200;274.954400;3744.660000;3345.722000;2749.544000;5.799341
640000;1000000;10;9972.540000;997.254000;379.942100;341.447200;275.864700;3799.421000;3414.472000;2758.647000;5.806180
650000;1000000;10;10085.270000;1008.527000;394.329600;353.542900;260.654500;3943.296000;3535.429000;2606.545000;5.812913
660000;1000000;10;10239.049000;1023.904900;394.972900;360.089900;268.842100;3949.729000;3600.899000;2688.421000;5.819544
670000;1000000;10;11183.785000;1118.378500;413.743100;378.504100;326.131300;4137.431000;3785.041000;3261.313000;5.826075
680000;1000000;10;11307.511000;1130.751100;411.870800;379.123100;339.757200;4118.708000;3791.231000;3397.572000;5.832509
690000;1000000;10;11418.407000;1141.840700;420.106500;382.550300;339.183900;4201.065000;3825.503000;3391.839000;5.838849
700000;1000000;10;12098.368000;1209.836800;431.354800;399.022900;379.459100;4313.548000;3990.229000;3794.591000;5.845098
710000;1000000;10;11785.041000;1178.504100;431.994800;396.595000;349.914300;4319.948000;3965.950000;3499.143000;5.851258
720000;1000000;10;12297.915000;1229.791500;440.706200;407.979000;381.106300;4407.062000;4079.790000;3811.063000;5.857333
730000;1000000;10;10747.855000;1074.785500;446.410700;396.733600;231.641200;4464.107000;3967.336000;2316.412000;5.863323
740000;1000000;10;11873.260000;1187.326000;449.003800;410.412900;327.909300;4490.038000;4104.129000;3279.093000;5.869232
750000;1000000;10;12311.161000;1231.116100;454.461200;419.451400;357.203500;4544.612000;4194.514000;3572.035000;5.875061
760000;1000000;10;12977.449000;1297.744900;465.793400;432.298200;399.653300;4657.934000;4322.982000;3996.533000;5.880814
770000;1000000;10;12850.656000;1285.065600;469.104300;432.383700;383.577600;4691.043000;4323.837000;3835.776000;5.886491
780000;1000000;10;12792.013000;1279.201300;475.512200;438.106500;365.582600;4755.122000;4381.065000;3655.826000;5.892095
790000;1000000;10;13362.528000;1336.252800;490.988900;446.379300;398.884600;4909.889000;4463.793000;3988.846000;5.897627
800000;1000000;10;13507.525000;1350.752500;500.899600;459.508000;390.344900;5008.996000;4595.080000;3903.449000;5.903090
810000;1000000;10;14918.499000;1491.849900;529.610400;496.805400;465.434100;5296.104000;4968.054000;4654.341000;5.908485
820000;1000000;10;13836.001000;1383.600100;512.672500;471.871800;399.055800;5126.725000;4718.718000;3990.558000;5.913814
830000;1000000;10;15028.145000;1502.814500;540.767600;493.114700;468.932200;5407.676000;4931.147000;4689.322000;5.919078
840000;1000000;10;13786.516000;1378.651600;531.220500;482.322400;365.108700;5312.205000;4823.224000;3651.087000;5.924279
850000;1000000;10;14890.489000;1489.048900;541.710000;496.358600;450.980300;5417.100000;4963.586000;4509.803000;5.929419
860000;1000000;10;14472.079000;1447.207900;536.052800;495.418600;415.736500;5360.528000;4954.186000;4157.365000;5.934498
870000;1000000;10;12527.312000;1252.731200;556.442500;497.107300;199.181400;5564.425000;4971.073000;1991.814000;5.939519
880000;1000000;10;14790.609000;1479.060900;554.393300;513.388200;411.279400;5543.933000;5133.882000;4112.794000;5.944483
890000;1000000;10;15338.719000;1533.871900;559.491400;522.700100;451.680400;5594.914000;5227.001000;4516.804000;5.949390
900000;1000000;10;15416.421000;1541.642100;599.960700;551.785800;389.895600;5999.607000;5517.858000;3898.956000;5.954243
910000;1000000;10;14889.422000;1488.942200;623.539100;558.759100;306.644000;6235.391000;5587.591000;3066.440000;5.959042
920000;1000000;10;17496.078000;1749.607800;627.691000;587.358600;534.558200;6276.910000;5873.586000;5345.582000;5.963788
930000;1000000;10;15578.640000;1557.864000;633.730400;573.667000;350.466600;6337.304000;5736.670000;3504.666000;5.968483
940000;1000000;10;15271.720000;1527.172000;644.809500;575.075200;307.287300;6448.095000;5750.752000;3072.873000;5.973128
950000;1000000;10;15126.460000;1512.646000;658.707300;598.711400;255.227300;6587.073000;5987.114000;2552.273000;5.977724
960000;1000000;10;16292.538000;1629.253800;659.239600;602.261800;367.752400;6592.396000;6022.618000;3677.524000;5.982271
970000;1000000;10;17797.932000;1779.793200;669.841500;617.019200;492.932500;6698.415000;6170.192000;4929.325000;5.986772
980000;1000000;10;17009.077000;1700.907700;679.307800;623.703400;397.896500;6793.078000;6237.034000;3978.965000;5.991226
990000;1000000;10;17429.343000;1742.934300;694.435300;633.625400;414.873600;6944.353000;6336.254000;4148.736000;5.995635
1000000;1000000;10;18637.477000;1863.747700;691.434700;641.063200;531.249800;6914.347000;6410.632000;5312.498000;6.000000
