n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
600000;10000;1;178.662000;178.662000;62.530000;62.718000;53.414000;62.530000;62.718000;53.414000;5.778151
610000;10000;1;182.559000;182.559000;63.753000;62.574000;56.232000;63.753000;62.574000;56.232000;5.785330
620000;10000;1;185.373000;185.373000;64.940000;65.551000;54.882000;64.940000;65.551000;54.882000;5.792392
630000;10000;1;198.290000;198.290000;68.754000;69.014000;60.522000;68.754000;69.014000;60.522000;5.799341
640000;10000;1;194.500000;194.500000;68.570000;68.045000;57.885000;68.570000;68.045000;57.885000;5.806180
650000;10000;1;197.573000;197.573000;68.681000;68.935000;59.957000;68.681000;68.935000;59.957000;5.812913
660000;10000;1;200.635000;200.635000;70.743000;70.872000;59.020000;70.743000;70.872000;59.020000;5.819544
670000;10000;1;205.813000;205.813000;72.131000;71.234000;62.448000;72.131000;71.234000;62.448000;5.826075
680000;10000;1;198.014000;198.014000;68.763000;69.595000;59.656000;68.763000;69.595000;59.656000;5.832509
690000;10000;1;201.519000;201.519000;70.490000;70.062000;60.967000;70.490000;70.062000;60.967000;5.838849
700000;10000;1;209.521000;209.521000;73.080000;73.540000;62.901000;73.080000;73.540000;62.901000;5.845098
710000;10000;1;214.984000;214.984000;75.985000;74.105000;64.894000;75.985000;74.105000;64.894000;5.851258
720000;10000;1;212.644000;212.644000;75.517000;74.330000;62.797000;75.517000;74.330000;62.797000;5.857333
730000;10000;1;213.471000;213.471000;74.406000;73.647000;65.418000;74.406000;73.647000;65.418000;5.863323
740000;10000;1;221.585000;221.585000;78.033000;78.522000;65.030000;78.033000;78.522000;65.030000;5.869232
750000;10000;1;224.895000;224.895000;78.065000;77.984000;68.846000;78.065000;77.984000;68.846000;5.875061
760000;10000;1;224.033000;224.033000;78.355000;78.973000;66.705000;78.355000;78.973000;66.705000;5.880814
770000;10000;1;232.462000;232.462000;81.087000;80.294000;71.081000;81.087000;80.294000;71.081000;5.886491
780000;10000;1;231.250000;231.250000;82.561000;80.547000;68.142000;82.561000;80.547000;68.142000;5.892095
790000;10000;1;241.190000;241.190000;84.012000;83.854000;73.324000;84.012000;83.854000;73.324000;5.897627
800000;10000;1;234.526000;234.526000;82.538000;82.797000;69.191000;82.538000;82.797000;69.191000;5.903090
810000;10000;1;240.217000;240.217000;84.634000;83.331000;72.252000;84.634000;83.331000;72.252000;5.908485
820000;10000;1;245.272000;245.272000;86.448000;85.940000;72.884000;86.448000;85.940000;72.884000;5.913814
830000;10000;1;255.665000;255.665000;89.554000;88.433000;77.678000;89.554000;88.433000;77.678000;5.919078
840000;10000;1;251.360000;251.360000;88.860000;89.241000;73.259000;88.860000;89.241000;73.259000;5.924279
850000;10000;1;252.473000;252.473000;88.020000;88.105000;76.348000;88.020000;88.105000;76.348000;5.929419
860000;10000;1;256.909000;256.909000;91.156000;90.347000;75.406000;91.156000;90.347000;75.406000;5.934498
870000;10000;1;266.286000;266.286000;92.931000;92.992000;80.363000;92.931000;92.992000;80.363000;5.939519
880000;10000;1;264.054000;264.054000;93.045000;93.150000;77.859000;93.045000;93.150000;77.859000;5.944483
890000;10000;1;268.326000;268.326000;93.731000;93.926000;80.669000;93.731000;93.926000;80.669000;5.949390
900000;10000;1;273.771000;273.771000;97.624000;96.056000;80.091000;97.624000;96.056000;80.091000;5.954243
910000;10000;1;270.175000;270.175000;94.929000;93.630000;81.616000;94.929000;93.630000;81.616000;5.959042
920000;10000;1;267.292000;267.292000;94.597000;93.143000;79.552000;94.597000;93.143000;79.552000;5.963788
930000;10000;1;285.499000;285.499000;100.080000;98.698000;86.721000;100.080000;98.698000;86.721000;5.968483
940000;10000;1;283.010000;283.010000;100.464000;99.427000;83.119000;100.464000;99.427000;83.119000;5.973128
950000;10000;1;290.832000;290.832000;101.377000;100.735000;88.720000;101.377000;100.735000;88.720000;5.977724
960000;10000;1;288.652000;288.652000;102.751000;101.562000;84.339000;102.751000;101.562000;84.339000;5.982271
970000;10000;1;282.654000;282.654000;99.139000;97.850000;85.665000;99.139000;97.850000;85.665000;5.986772
980000;10000;1;289.899000;289.899000;102.117000;102.424000;85.358000;102.117000;102.424000;85.358000;5.991226
990000;10000;1;300.661000;300.661000;105.280000;104.206000;91.175000;105.280000;104.206000;91.175000;5.995635
1000000;10000;1;294.238000;294.238000;103.942000;103.791000;86.505000;103.942000;103.791000;86.505000;6.000000
