n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
10000;10000;10;24.436000;2.443600;1.029800;1.009600;0.404200;10.298000;10.096000;4.042000;4.000000
20000;10000;10;44.370000;4.437000;1.947300;1.792300;0.697400;19.473000;17.923000;6.974000;4.301030
30000;10000;10;65.305000;6.530500;2.785900;2.670300;1.074300;27.859000;26.703000;10.743000;4.477121
40000;10000;10;92.411000;9.241100;3.928600;3.757500;1.555000;39.286000;37.575000;15.550000;4.602060
50000;10000;10;115.672000;11.567200;4.932500;4.818200;1.816500;49.325000;48.182000;18.165000;4.698970
60000;10000;10;147.887000;14.788700;6.192300;5.862300;2.734100;61.923000;58.623000;27.341000;4.778152
70000;10000;10;158.919000;15.891900;6.900500;6.543500;2.447900;69.005000;65.435000;24.479000;4.845098
80000;10000;10;175.009000;17.500900;7.503700;7.245300;2.751900;75.037000;72.453000;27.519000;4.903090
90000;10000;10;192.666000;19.266600;8.310400;7.963300;2.992900;83.104000;79.633000;29.929000;4.954243
100000;10000;10;214.232000;21.423200;9.115400;8.939700;3.368100;91.154000;89.397000;33.681000;5.000000
110000;10000;10;256.089000;25.608900;10.757400;10.617600;4.233900;107.574000;106.176000;42.339000;5.041393
120000;10000;10;254.872000;25.487200;10.891900;10.475200;4.120100;108.919000;104.752000;41.201000;5.079181
130000;10000;10;276.047000;27.604700;11.658100;11.552000;4.394600;116.581000;115.520000;43.946000;5.113944
140000;10000;10;290.360000;29.036000;12.428700;11.960600;4.646700;124.287000;119.606000;46.467000;5.146128
150000;10000;10;318.764000;31.876400;13.543000;13.221500;5.111900;135.430000;132.215000;51.119000;5.176091
160000;10000;10;332.229000;33.222900;14.060400;13.785400;5.377100;140.604000;137.854000;53.771000;5.204120
170000;10000;10;351.613000;35.161300;15.257500;14.509900;5.393900;152.575000;145.099000;53.939000;5.230449
180000;10000;10;405.703000;40.570300;16.961000;16.588700;7.020600;169.610000;165.887000;70.206000;5.255272
190000;10000;10;382.868000;38.286800;16.452000;15.858400;5.976400;164.520000;158.584000;59.764000;5.278754
200000;10000;10;420.296000;42.029600;17.878900;17.455900;6.694800;178.789000;174.559000;66.948000;5.301030
210000;10000;10;450.243000;45.024300;18.825000;18.083100;8.116200;188.250000;180.831000;81.162000;5.322219
220000;10000;10;450.363000;45.036300;19.364100;18.712800;6.959400;193.641000;187.128000;69.594000;5.342422
230000;10000;10;491.858000;49.185800;21.013800;20.274500;7.897500;210.138000;202.745000;78.975000;5.361728
240000;10000;10;488.143000;48.814300;21.141400;20.159700;7.513200;211.414000;201.597000;75.132000;5.380211
250000;10000;10;505.124000;50.512400;21.801500;20.732700;7.978200;218.015000;207.327000;79.782000;5.397940
260000;10000;10;534.888000;53.488800;22.792500;22.141700;8.554600;227.925000;221.417000;85.546000;5.414973
270000;10000;10;564.041000;56.404100;24.136100;23.435600;8.832400;241.361000;234.356000;88.324000;5.431364
280000;10000;10;611.686000;61.168600;26.085000;25.075300;10.008300;260.850000;250.753000;100.083000;5.447158
290000;10000;10;603.790000;60.379000;25.699100;24.928100;9.751800;256.991000;249.281000;97.518000;5.462398
300000;10000;10;618.674000;61.867400;26.492700;25.387900;9.986800;264.927000;253.879000;99.868000;5.477121
310000;10000;10;682.833000;68.283300;28.557500;28.470400;11.255400;285.575000;284.704000;112.554000;5.491362
320000;10000;10;731.830000;73.183000;31.407300;29.502900;12.272800;314.073000;295.029000;122.728000;5.505150
