"n","max_key","number_of_run","total_time","average_time","average_time_insert","average_time_search","average_time_delete","total_time_insert","total_time_search","total_time_delete","Ologn"
590000,10000,10,2264.516000,226.451600,108.734700,108.080400,9.636500,1087.347000,1080.804000,96.365000,5.770852
600000,10000,10,2305.538000,230.553800,110.520000,110.671100,9.362700,1105.200000,1106.711000,93.627000,5.778151
610000,10000,10,2348.661000,234.866100,112.640600,112.790200,9.435300,1126.406000,1127.902000,94.353000,5.785330
620000,10000,10,2447.960000,244.796000,116.044500,119.058400,9.693100,1160.445000,1190.584000,96.931000,5.792392
630000,10000,10,2437.137000,243.713700,117.804800,116.283100,9.625800,1178.048000,1162.831000,96.258000,5.799341
640000,10000,10,2494.312000,249.431200,119.487500,120.389800,9.553900,1194.875000,1203.898000,95.539000,5.806180
650000,10000,10,2511.415000,251.141500,120.901500,120.699200,9.540800,1209.015000,1206.992000,95.408000,5.812913
660000,10000,10,2566.218000,256.621800,123.675800,123.247100,9.698900,1236.758000,1232.471000,96.989000,5.819544
670000,10000,10,2658.647000,265.864700,127.643300,128.172900,10.048500,1276.433000,1281.729000,100.485000,5.826075
680000,10000,10,2814.679000,281.467900,137.347500,133.739500,10.380900,1373.475000,1337.395000,103.809000,5.832509
690000,10000,10,2795.840000,279.584000,134.817000,134.303000,10.464000,1348.170000,1343.030000,104.640000,5.838849
700000,10000,10,2866.793000,286.679300,138.490500,137.536200,10.652600,1384.905000,1375.362000,106.526000,5.845098
710000,10000,10,2828.799000,282.879900,135.641500,136.988100,10.250300,1356.415000,1369.881000,102.503000,5.851258
720000,10000,10,2914.145000,291.414500,139.671600,141.244000,10.498900,1396.716000,1412.440000,104.989000,5.857333
730000,10000,10,3008.114000,300.811400,143.555700,146.705200,10.550500,1435.557000,1467.052000,105.505000,5.863323
740000,10000,10,3055.427000,305.542700,146.889000,147.548400,11.105300,1468.890000,1475.484000,111.053000,5.869232
750000,10000,10,3122.265000,312.226500,149.937800,151.389300,10.899400,1499.378000,1513.893000,108.994000,5.875061
760000,10000,10,3147.409000,314.740900,151.337800,152.655700,10.747400,1513.378000,1526.557000,107.474000,5.880814
770000,10000,10,3208.426000,320.842600,154.630800,154.977300,11.234500,1546.308000,1549.773000,112.345000,5.886491
780000,10000,10,3341.915000,334.191500,159.364300,163.617100,11.210100,1593.643000,1636.171000,112.101000,5.892095
790000,10000,10,3256.540000,325.654000,157.014900,157.835500,10.803600,1570.149000,1578.355000,108.036000,5.897627
800000,10000,10,3359.980000,335.998000,162.016800,162.730700,11.250500,1620.168000,1627.307000,112.505000,5.903090
810000,10000,10,3406.677000,340.667700,164.458500,164.738400,11.470800,1644.585000,1647.384000,114.708000,5.908485
820000,10000,10,3445.035000,344.503500,165.173800,167.648700,11.681000,1651.738000,1676.487000,116.810000,5.913814
830000,10000,10,3704.686000,370.468600,178.784400,179.816000,11.868200,1787.844000,1798.160000,118.682000,5.919078
840000,10000,10,3782.999000,378.299900,183.512100,183.048900,11.738900,1835.121000,1830.489000,117.389000,5.924279
850000,10000,10,3871.156000,387.115600,188.488700,186.516800,12.110100,1884.887000,1865.168000,121.101000,5.929419
860000,10000,10,3632.766000,363.276600,175.281100,176.418400,11.577100,1752.811000,1764.184000,115.771000,5.934498
870000,10000,10,3659.301000,365.930100,176.129000,178.248400,11.552700,1761.290000,1782.484000,115.527000,5.939519
