n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
1000;1000000000;1;0.399000;0.399000;0.154000;0.091000;0.154000;0.154000;0.091000;0.154000;3.000000
2000;1000000000;1;0.687000;0.687000;0.300000;0.163000;0.224000;0.300000;0.163000;0.224000;3.301030
3000;1000000000;1;1.069000;1.069000;0.449000;0.260000;0.360000;0.449000;0.260000;0.360000;3.477121
4000;1000000000;1;1.452000;1.452000;0.600000;0.363000;0.489000;0.600000;0.363000;0.489000;3.602060
5000;1000000000;1;1.854000;1.854000;0.758000;0.475000;0.621000;0.758000;0.475000;0.621000;3.698970
