n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
1000;1000000000;1;0.358000;0.358000;0.148000;0.072000;0.138000;0.148000;0.072000;0.138000;-2.000000
2000;1000000000;1;0.723000;0.723000;0.336000;0.162000;0.225000;0.336000;0.162000;0.225000;-1308621176635943016654099031879929253312067195825592858977338651317478443693923022629674942464.000000
3000;1000000000;1;1.064000;1.064000;0.455000;0.259000;0.350000;0.455000;0.259000;0.350000;-2512846483492120082830035368759450499598542922193647769156738876765783034581979474879346569897022714909912398242268912344964844717154046751021203456.000000
4000;1000000000;1;1.448000;1.448000;0.601000;0.364000;0.483000;0.601000;0.364000;0.483000;-820957404450328433735425971478376249366422253912588507657262077841449293203927159263977676807609497559256273490594913608679156398418058615162483717686362100169746128520191282533330059264.000000
5000;1000000000;1;1.874000;1.874000;0.768000;0.479000;0.627000;0.768000;0.479000;0.627000;-601648879481368598670501790704421051054564611388167389544899880494129040619219208108856607386371032676930202696566486102296327056482147915306397287079254706772569248191314048208464379434959185669107346870635434344448.000000
