n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
1000;1000000000;20;7.397000;0.369850;0.153350;0.090200;0.126300;3.067000;1.804000;2.526000;3.000000
2000;1000000000;20;15.644000;0.782200;0.327500;0.196650;0.258050;6.550000;3.933000;5.161000;3.301030
3000;1000000000;20;25.158000;1.257900;0.513950;0.324250;0.419700;10.279000;6.485000;8.394000;3.477121
4000;1000000000;20;36.741000;1.837050;0.746500;0.482000;0.608550;14.930000;9.640000;12.171000;3.602060
5000;1000000000;20;49.053000;2.452650;0.994000;0.650100;0.808550;19.880000;13.002000;16.171000;3.698970
