n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
1000;1000000000;1;0.367000;0.367000;0.147000;0.072000;0.148000;0.147000;0.072000;0.148000;3.000000
2000;1000000000;1;0.680000;0.680000;0.286000;0.159000;0.235000;0.286000;0.159000;0.235000;3.301030
3000;1000000000;1;1.065000;1.065000;0.450000;0.262000;0.353000;0.450000;0.262000;0.353000;3.477121
4000;1000000000;1;1.453000;1.453000;0.596000;0.368000;0.489000;0.596000;0.368000;0.489000;3.602060
5000;1000000000;1;1.876000;1.876000;0.772000;0.476000;0.628000;0.772000;0.476000;0.628000;3.698970
