n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
10;1000000000;100;0.126000;0.001260;0.000530;0.000260;0.000470;0.053000;0.026000;0.047000;1.000000
100;1000000000;100;1.330000;0.013300;0.006080;0.002640;0.004580;0.608000;0.264000;0.458000;2.000000
1000;1000000000;100;29.854000;0.298540;0.121540;0.074260;0.102740;12.154000;7.426000;10.274000;3.000000
10000;1000000000;100;455.271000;4.552710;1.777500;1.264700;1.510510;177.750000;126.470000;151.051000;4.000000
