nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n);type
10000;1000000;10;142.879000;14.287900;5.542700;4.292700;4.452500;55.427000;42.927000;44.525000;4.000000;random
15000;1000000;10;206.674000;20.667400;7.354200;6.200000;7.113200;73.542000;62.000000;71.132000;4.176091;random
20000;1000000;10;282.251000;28.225100;10.174700;8.713100;9.337300;101.747000;87.131000;93.373000;4.301030;random
25000;1000000;10;371.466000;37.146600;12.968300;11.822700;12.355600;129.683000;118.227000;123.556000;4.397940;random
30000;1000000;10;460.458000;46.045800;16.171900;14.274200;15.599700;161.719000;142.742000;155.997000;4.477121;random
35000;1000000;10;571.571000;57.157100;19.899500;17.748700;19.508900;198.995000;177.487000;195.089000;4.544068;random
40000;1000000;10;675.858000;67.585800;24.015800;21.365100;22.204900;240.158000;213.651000;222.049000;4.602060;random
45000;1000000;10;806.526000;80.652600;27.967800;24.606300;28.078500;279.678000;246.063000;280.785000;4.653213;random
50000;1000000;10;957.033000;95.703300;32.983900;30.066400;32.653000;329.839000;300.664000;326.530000;4.698970;random
55000;1000000;10;1131.685000;113.168500;39.284800;34.839900;39.043800;392.848000;348.399000;390.438000;4.740363;random
60000;1000000;10;1368.987000;136.898700;48.209600;42.267300;46.421800;482.096000;422.673000;464.218000;4.778152;random
65000;1000000;10;1418.283000;141.828300;47.840900;44.466300;49.521100;478.409000;444.663000;495.211000;4.812913;random
70000;1000000;10;1692.143000;169.214300;60.123600;54.148400;54.942300;601.236000;541.484000;549.423000;4.845098;random
75000;1000000;10;1672.966000;167.296600;59.942700;54.227500;53.126400;599.427000;542.275000;531.264000;4.875061;random
80000;1000000;10;1573.076000;157.307600;54.313200;50.299500;52.694900;543.132000;502.995000;526.949000;4.903090;random
85000;1000000;10;1649.674000;164.967400;55.597700;52.511700;56.858000;555.977000;525.117000;568.580000;4.929419;random
90000;1000000;10;1780.686000;178.068600;60.383000;57.292800;60.392800;603.830000;572.928000;603.928000;4.954243;random
95000;1000000;10;1817.892000;181.789200;62.608400;58.142900;61.037900;626.084000;581.429000;610.379000;4.977724;random
100000;1000000;10;1928.003000;192.800300;66.844200;61.227000;64.729100;668.442000;612.270000;647.291000;5.000000;random
105000;1000000;10;2426.272000;242.627200;83.131300;79.811400;79.684500;831.313000;798.114000;796.845000;5.021189;random
110000;1000000;10;2498.694000;249.869400;89.676800;80.423100;79.769500;896.768000;804.231000;797.695000;5.041393;random
115000;1000000;10;2542.265000;254.226500;84.568400;83.011200;86.646900;845.684000;830.112000;866.469000;5.060698;random
120000;1000000;10;3013.084000;301.308400;105.199500;94.646400;101.462500;1051.995000;946.464000;1014.625000;5.079181;random
125000;1000000;10;2696.001000;269.600100;93.342000;85.835200;90.422900;933.420000;858.352000;904.229000;5.096910;random
130000;1000000;10;2759.463000;275.946300;93.898300;87.379000;94.669000;938.983000;873.790000;946.690000;5.113944;random
135000;1000000;10;2878.967000;287.896700;98.198900;92.647400;97.050400;981.989000;926.474000;970.504000;5.130334;random
140000;1000000;10;3056.244000;305.624400;106.245300;97.130000;102.249100;1062.453000;971.300000;1022.491000;5.146128;random
145000;1000000;10;3101.676000;310.167600;106.114100;101.512100;102.541400;1061.141000;1015.121000;1025.414000;5.161368;random
150000;1000000;10;3359.426000;335.942600;116.738100;108.505800;110.698700;1167.381000;1085.058000;1106.987000;5.176091;random
155000;1000000;10;3449.213000;344.921300;119.630400;108.947600;116.343300;1196.304000;1089.476000;1163.433000;5.190331;random
160000;1000000;10;3526.158000;352.615800;120.823600;113.815900;117.976300;1208.236000;1138.159000;1179.763000;5.204120;random
165000;1000000;10;3757.963000;375.796300;128.322500;122.367100;125.106700;1283.225000;1223.671000;1251.067000;5.217484;random
170000;1000000;10;3820.203000;382.020300;133.316200;122.251800;126.452300;1333.162000;1222.518000;1264.523000;5.230449;random
175000;1000000;10;3998.827000;399.882700;137.718600;127.517700;134.646400;1377.186000;1275.177000;1346.464000;5.243038;random
180000;1000000;10;4083.425000;408.342500;140.160800;132.792600;135.389100;1401.608000;1327.926000;1353.891000;5.255272;random
185000;1000000;10;4272.356000;427.235600;147.069600;135.354100;144.811900;1470.696000;1353.541000;1448.119000;5.267172;random
190000;1000000;10;4453.418000;445.341800;153.719700;142.416800;149.205300;1537.197000;1424.168000;1492.053000;5.278754;random
195000;1000000;10;4646.223000;464.622300;158.151500;150.378800;156.092000;1581.515000;1503.788000;1560.920000;5.290035;random
200000;1000000;10;4744.306000;474.430600;163.105900;152.297900;159.026800;1631.059000;1522.979000;1590.268000;5.301030;random
205000;1000000;10;4988.882000;498.888200;172.112800;159.149400;167.626000;1721.128000;1591.494000;1676.260000;5.311754;random
210000;1000000;10;5090.837000;509.083700;174.857900;163.576300;170.649500;1748.579000;1635.763000;1706.495000;5.322219;random
215000;1000000;10;5299.547000;529.954700;179.816000;172.478500;177.660200;1798.160000;1724.785000;1776.602000;5.332438;random
220000;1000000;10;5548.964000;554.896400;189.949800;176.530400;188.416200;1899.498000;1765.304000;1884.162000;5.342422;random
225000;1000000;10;5792.213000;579.221300;197.088900;186.261800;195.870600;1970.889000;1862.618000;1958.706000;5.352182;random
230000;1000000;10;5878.728000;587.872800;200.524400;190.493600;196.854800;2005.244000;1904.936000;1968.548000;5.361728;random
235000;1000000;10;6147.666000;614.766600;211.586500;195.578900;207.601200;2115.865000;1955.789000;2076.012000;5.371068;random
240000;1000000;10;6256.904000;625.690400;214.729900;204.065000;206.895500;2147.299000;2040.650000;2068.955000;5.380211;random
245000;1000000;10;6470.581000;647.058100;221.091400;209.137700;216.829000;2210.914000;2091.377000;2168.290000;5.389166;random
250000;1000000;10;6547.298000;654.729800;226.185500;211.617900;216.926400;2261.855000;2116.179000;2169.264000;5.397940;random
255000;1000000;10;6537.845000;653.784500;227.357000;209.422700;217.004800;2273.570000;2094.227000;2170.048000;5.406540;random
260000;1000000;10;6895.788000;689.578800;235.815500;222.396100;231.367200;2358.155000;2223.961000;2313.672000;5.414973;random
265000;1000000;10;7121.781000;712.178100;244.227400;230.274600;237.676100;2442.274000;2302.746000;2376.761000;5.423246;random
270000;1000000;10;7302.539000;730.253900;249.991500;235.336000;244.926400;2499.915000;2353.360000;2449.264000;5.431364;random
275000;1000000;10;7435.607000;743.560700;256.486200;239.721200;247.353300;2564.862000;2397.212000;2473.533000;5.439332;random
280000;1000000;10;7620.911000;762.091100;261.586900;246.117000;254.387200;2615.869000;2461.170000;2543.872000;5.447158;random
285000;1000000;10;7955.129000;795.512900;274.752100;253.645300;267.115500;2747.521000;2536.453000;2671.155000;5.454845;random
290000;1000000;10;8058.196000;805.819600;280.085900;259.777300;265.956400;2800.859000;2597.773000;2659.564000;5.462398;random
