n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
60000;10000;1;19.728000;19.728000;7.037000;6.912000;5.779000;7.037000;6.912000;5.779000;4.778152
61000;10000;1;20.493000;20.493000;6.787000;7.317000;6.389000;6.787000;7.317000;6.389000;4.785330
62000;10000;1;20.657000;20.657000;7.561000;6.939000;6.157000;7.561000;6.939000;6.157000;4.792392
63000;10000;1;21.399000;21.399000;7.755000;7.049000;6.595000;7.755000;7.049000;6.595000;4.799341
64000;10000;1;21.410000;21.410000;7.381000;7.606000;6.423000;7.381000;7.606000;6.423000;4.806180
65000;10000;1;22.512000;22.512000;7.948000;7.952000;6.612000;7.948000;7.952000;6.612000;4.812913
66000;10000;1;22.527000;22.527000;7.967000;7.628000;6.932000;7.967000;7.628000;6.932000;4.819544
67000;10000;1;22.814000;22.814000;7.925000;8.225000;6.664000;7.925000;8.225000;6.664000;4.826075
68000;10000;1;22.540000;22.540000;8.054000;7.703000;6.783000;8.054000;7.703000;6.783000;4.832509
69000;10000;1;23.408000;23.408000;8.359000;7.718000;7.331000;8.359000;7.718000;7.331000;4.838849
70000;10000;1;22.981000;22.981000;8.061000;8.180000;6.740000;8.061000;8.180000;6.740000;4.845098
71000;10000;1;23.887000;23.887000;8.388000;7.766000;7.733000;8.388000;7.766000;7.733000;4.851258
72000;10000;1;22.831000;22.831000;7.784000;8.307000;6.740000;7.784000;8.307000;6.740000;4.857333
73000;10000;1;25.347000;25.347000;8.981000;8.674000;7.692000;8.981000;8.674000;7.692000;4.863323
74000;10000;1;23.927000;23.927000;8.074000;8.653000;7.200000;8.074000;8.653000;7.200000;4.869232
75000;10000;1;24.959000;24.959000;8.670000;8.682000;7.607000;8.670000;8.682000;7.607000;4.875061
76000;10000;1;24.603000;24.603000;8.578000;8.720000;7.305000;8.578000;8.720000;7.305000;4.880814
77000;10000;1;26.091000;26.091000;8.909000;8.979000;8.203000;8.909000;8.979000;8.203000;4.886491
78000;10000;1;26.178000;26.178000;8.766000;9.676000;7.736000;8.766000;9.676000;7.736000;4.892095
79000;10000;1;27.218000;27.218000;9.291000;9.371000;8.556000;9.291000;9.371000;8.556000;4.897627
80000;10000;1;26.597000;26.597000;9.198000;9.460000;7.939000;9.198000;9.460000;7.939000;4.903090
81000;10000;1;27.351000;27.351000;9.797000;9.404000;8.150000;9.797000;9.404000;8.150000;4.908485
82000;10000;1;27.655000;27.655000;9.679000;9.341000;8.635000;9.679000;9.341000;8.635000;4.913814
83000;10000;1;27.716000;27.716000;9.323000;10.275000;8.118000;9.323000;10.275000;8.118000;4.919078
84000;10000;1;27.547000;27.547000;9.615000;9.541000;8.391000;9.615000;9.541000;8.391000;4.924279
85000;10000;1;30.810000;30.810000;10.317000;10.908000;9.585000;10.317000;10.908000;9.585000;4.929419
86000;10000;1;28.854000;28.854000;10.203000;9.480000;9.171000;10.203000;9.480000;9.171000;4.934498
87000;10000;1;28.901000;28.901000;9.725000;10.226000;8.950000;9.725000;10.226000;8.950000;4.939519
88000;10000;1;28.575000;28.575000;10.187000;9.856000;8.532000;10.187000;9.856000;8.532000;4.944483
89000;10000;1;31.088000;31.088000;11.609000;10.254000;9.225000;11.609000;10.254000;9.225000;4.949390
90000;10000;1;29.926000;29.926000;10.739000;9.773000;9.414000;10.739000;9.773000;9.414000;4.954243
91000;10000;1;30.595000;30.595000;10.571000;10.660000;9.364000;10.571000;10.660000;9.364000;4.959042
92000;10000;1;30.064000;30.064000;10.186000;10.942000;8.936000;10.186000;10.942000;8.936000;4.963788
93000;10000;1;31.549000;31.549000;10.936000;11.346000;9.267000;10.936000;11.346000;9.267000;4.968483
94000;10000;1;30.284000;30.284000;10.540000;10.708000;9.036000;10.540000;10.708000;9.036000;4.973128
95000;10000;1;31.324000;31.324000;11.089000;11.048000;9.187000;11.089000;11.048000;9.187000;4.977724
96000;10000;1;31.152000;31.152000;11.049000;10.526000;9.577000;11.049000;10.526000;9.577000;4.982271
97000;10000;1;32.372000;32.372000;11.381000;10.790000;10.201000;11.381000;10.790000;10.201000;4.986772
98000;10000;1;31.084000;31.084000;10.616000;10.587000;9.881000;10.616000;10.587000;9.881000;4.991226
